品番,ライフサイクル,極性,V<sub>DSS</sub>(V),V<sub>GSS</sub>(V),I<sub>D</sub>(A),P<sub>D</sub>(W),Ciss(pF),Qg(nC),R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=1.2V,R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=1.5V,R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=1.8V,R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=2.5V,R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=4V,R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=4.5V,R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=6V,R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=10V,ピン数,面実装区分,パッケージ名(Toshiba),
"SSM6J206FE","","P-ch","-20","+/-8","-2","","","","","","0.32","0.186","0.13","","","","6","Y","ES6",
"SSM6J207FE","","P-ch","-30","+/-20","-1.4","","","","","","","","0.491","","","","6","Y","ES6",
"SSM6J212FE","","P-ch","-20","+/-8","-4","","","","","0.094","0.0654","0.049","","0.0407","","","6","Y","ES6",
"SSM6J213FE","","P-ch","-20","+/-8","-2.6","","290","4.7","","0.25","0.178","0.133","","0.103","","","6","Y","ES6",
"SSM6J214FE","","P-ch","-30","+/-12","-3.6","","560","7.9","","","0.1496","0.0776","","0.057","","0.050","6","Y","ES6",
"SSM6J215FE","新製品","P-ch","-20","+/-8","-3.4","","630","10.4","","0.154","0.104","0.079","","0.059","","","6","Y","ES6",
"SSM6J216FE","新製品","P-ch","-12","+/-8","-4.8","","1040","12.7","","0.0881","0.056","0.0393","","0.032","","","6","Y","ES6",
"SSM6J23FE","","P-ch","-12","+/-8","1.2","","","","","","","0.210","0.140","","","","6","Y","ES6",
"SSM6J25FE","","P-ch","-20","+/-12","0.5","","","","","","","0.430","0.260","","","","6","Y","ES6",
"SSM6J26FE","","P-ch","-20","+/-8","0.5","","","","","","0.980","0.330","0.230","","","","6","Y","ES6",
"SSM6J401TU","","P-ch","-30","+/-20","-2.5","","","","","","","","0.145","","","0.073","6","Y","UF6",
"SSM6J402TU","","P-ch","-30","+/-20","-2","","","","","","","","0.225","","","0.117","6","Y","UF6",
"SSM6J409TU","","P-ch","-20","+/-8","-9.5","","1100","15.0","","0.0723","0.0462","0.0302","","0.0221","","","6","Y","UF6",
"SSM6J410TU","","P-ch","-30","+/-20","-2.1","","120","2.9","","","","","0.393","","","0.216","6","Y","UF6",
"SSM6J412TU","","P-ch","-20","+/-8","-4","","","","","0.0996","0.0678","0.0514","","0.0427","","","6","Y","UF6",
"SSM6J414TU","新製品","P-ch","-20","+/-8","-6","","","","","","","","","","","","6","Y","UF6",
"SSM6J501NU","","P-ch","-20","+/-8","-10","","2600","29.9","","0.043","0.0265","0.019","","0.0153","","","6","Y","UDFN6B",
"SSM6J502NU","","P-ch","-20","+/-8","-6","","1800","24.8","","0.0605","0.0384","0.0283","","0.0231","","","6","Y","UDFN6B",
"SSM6J503NU","","P-ch","-20","+/-8","-6","","840","12.8","","0.0896","0.0579","0.0417","","0.0324","","","6","Y","UDFN6B",
"SSM6J505NU","新製品","P-ch","-12","+/-6","-12","","2700","37.6","0.061","0.030","0.021","0.016","","0.012","","","6","Y","UDFN6B",
"SSM6J50TU","","P-ch","-20","+/-10","-2.5","","","","","","","0.100","","0.064","","","6","Y","UF6",
"SSM6J53FE","","P-ch","-20","+/-8","-1.8","","","","","0.364","0.204","0.136","","","","","6","Y","ES6",
"SSM6K202FE","","N-ch","30","+/-12","2.3","","","","","","0.145","0.101","0.085","","","","6","Y","ES6",
"SSM6K203FE","","N-ch","20","+/-10","2.8","","","","","0.153","0.106","0.076","0.061","","","","6","Y","ES6",
"SSM6K204FE","","N-ch","20","+/-10","2","","","","","0.307","0.214","0.164","0.126","","","","6","Y","ES6",
"SSM6K208FE","","N-ch","30","+/-12","1.9","","","","","","0.296","0.177","0.133","","","","6","Y","ES6",
"SSM6K210FE","","N-ch","30","+/-20","1.5","","","","","","","","0.36","","","0.217","6","Y","ES6",
"SSM6K211FE","","N-ch","30","+/-10","3.2","","","","","0.118","0.082","0.059","","0.047","","","6","Y","ES6",
"SSM6K22FE","","N-ch","20","+/-12","1.4","","","","","","","0.230","0.170","","","","6","Y","ES6",
"SSM6K24FE","","N-ch","30","+/-12","0.5","","","","","","","0.180","","0.145","","","6","Y","ES6",
"SSM6K25FE","","N-ch","20","+/-12","0.5","","","","","","0.395","0.190","0.145","","","","6","Y","ES6",
"SSM6K30FE","","N-ch","20","+/-20","1.2","","","","","","","","0.420","","","0.210","6","Y","ES6",
"SSM6K31FE","","N-ch","20","+/-20","1.2","","","","","","","","0.54","","","0.32","6","Y","ES6",
"SSM6K403TU","","N-ch","20","+/-10","4.2","","","","","0.066","0.043","0.032","0.028","","","","6","Y","UF6",
"SSM6K404TU","","N-ch","20","+/-10","3","","","","","0.147","0.100","0.070","0.055","","","","3","Y","UF6",
"SSM6K405TU","","N-ch","20","+/-10","2","","","","","0.307","0.214","0.164","0.126","","","","3","Y","UF6",
"SSM6K406TU","","N-ch","30","+/-20","4.6","","","","","","","","0.043","","","0.023","6","Y","UF6",
"SSM6K407TU","","N-ch","60","+/-20","2","","","","","","","","0.44","","","0.30","6","Y","UF6",
"SSM6K411TU","","N-ch","20","+/-12","10","","710","9.4","","","","0.0238","","0.012","","","6","Y","UF6",
"SSM6K504NU","新製品","N-ch","30","+/-20","9","","620","4.8","","","","","","0.026","","0.0195","6","Y","UDFN6B",
"SSM6L09FU","","N-ch + P-ch","-30","+/-20","-0.2","","","","","","","","4.2","","","2.7","6","Y","US6",
"SSM6L11TU","","N-ch + P-ch","-20","+/-12","-0.5","","","","","","","0.430","0.260","","","","6","Y","UF6",
"SSM6L12TU","","N-ch + P-ch","-20","+/-12","-0.5","","","","","","","0.430","0.260","","","","6","Y","UF6",
"SSM6L13TU","","N-ch + P-ch","-20","+/-8","-0.8","","","","","","0.46","0.306","0.234","","","","6","Y","UF6",
"SSM6L14FE","","N-ch + P-ch","-20","+/-8","-0.72","","","","","1.04","0.67","0.44","","0.3","","","6","Y","ES6",
"SSM6L16FE","","N-ch + P-ch","-20","+/-10","-0.1","","","","","45","","","","","","","6","Y","ES6",
"SSM6L35FE","","N-ch + P-ch","-20","+/-10","-0.1","","","","","22","","11","8","","","","6","Y","ES6",
"SSM6L35FU","","N-ch + P-ch","-20","+/-10","-0.1","","","","","22","","11","8","","","","6","Y","US6",
"SSM6L36FE","","N-ch + P-ch","-20","+/-8","-0.33","","","","","3.6","2.7","","","1.31","","","6","Y","ES6",
"SSM6L36TU","","N-ch + P-ch","-20","+/-8","-0.33","","","","","3.6","2.7","","","1.31","","","6","Y","UF6",
"SSM6L39TU","","N-ch + P-ch","-20","+/-8","-1.5","","","","","","0.43","0.294","0.213","","","","6","Y","UF6",
"SSM6L40TU","","N-ch + P-ch","-30","+/-20","-1.4","","","","","","","","0.403","","","0.226","6","Y","UF6",
"SSM6N09FU","","N-ch x 2","30","+/-20","0.4","","","","","","","","1.2","","","","6","Y","US6",
"SSM6N15AFE","","N-ch x 2","30","+/-20","0.1","","","","","","","6.0","3.6","","","","6","Y","ES6",
"SSM6N15AFU","","N-ch x 2","30","+/-20","0.1","","","","","","","6.0","3.6","","","","6","Y","US6",
"SSM6N15FU","","N-ch x 2","30","+/-20","0.1","","","","","","","7","","","","","6","Y","US6",
"SSM6N16FE","","N-ch x 2","20","+/-10","0.1","","","","","15","","","","","","","6","Y","ES6",
"SSM6N16FU","","N-ch x 2","20","+/-10","0.1","","","","","15","","","","","","","6","Y","US6",
"SSM6N17FU","","N-ch x 2","50","+/-7","0.1","","","","","","","40","","","","","6","Y","US6",
"SSM6N24TU","","N-ch x 2","30","+/-12","0.5","","","","","","","0.180","","0.145","","","6","Y","UF6",
"SSM6N25TU","","N-ch x 2","20","+/-12","0.5","","","","","","0.395","0.190","0.145","","","","6","Y","UF6",
"SSM6N35FE","","N-ch x 2","20","+/-10","0.18","","","","","8","","4","3","","","","6","Y","ES6",
"SSM6N35FU","","N-ch x 2","20","+/-10","0.18","","","","","8","","4","3","","","","6","Y","US6",
"SSM6N36FE","","N-ch x 2","20","+/-10","0.5","","","","","1.52","1.14","0.85","","0.66","","","6","Y","ES6",
"SSM6N36TU","","N-ch x 2","20","+/-10","0.5","","","","","1.52","1.14","0.85","","0.66","","","6","Y","UF6",
"SSM6N37CTD","","N-ch x 2","20","+/-10","0.25","","","","","5.60","4.05","3.02","","2.20","","","6","Y","CST6D",
"SSM6N37FE","","N-ch x 2","20","+/-10","0.25","","","","","5.60","4.05","3.02","","2.20","","","6","Y","ES6",
"SSM6N37FU","","N-ch x 2","20","+/-10","0.25","","","","","5.60","4.05","3.02","","2.20","","","6","Y","US6",
"SSM6N39TU","","N-ch x 2","20","+/-10","1.6","","","","","0.296","0.201","0.144","0.111","","","","6","Y","UF6",
"SSM6N40TU","","N-ch x 2","30","+/-20","1.6","","","","","","","","0.187","","","0.124","6","Y","UF6",
"SSM6N42FE","","N-ch x 2","20","+/-10","0.8","","","","","0.6","0.45","0.33","","0.24","","","6","Y","ES6",
"SSM6N43FU","","N-ch x 2","20","+/-10","0.5","","","","","1.52","1.14","0.85","","0.66","","","6","Y","US6",
"SSM6N44FE","","N-ch x 2","30","+/-20","0.1","","","","","","","7.0","4.0","","","","6","Y","ES6",
"SSM6N44FU","","N-ch x 2","30","+/-20","0.1","","","","","","","7.0","4.0","","","","6","Y","US6",
"SSM6N48FU","","N-ch x 2","30","+/-20","0.1","","","","","","","5.4","","","","","6","Y","US6",
"SSM6N55NU","新製品","N-ch x 2","30","+/-20","4","","","","","","","","","0.064","","0.046","6","Y","UDFN6",
"SSM6N57NU","新製品","N-ch x 2","30","+/-12","4","","","","","","0.082","0.053","","0.0391","","","6","Y","UDFN6",
"SSM6N58NU","新製品","N-ch x 2","30","+/-12","4","","","","","","0.180","0.117","","0.084","","","6","Y","UDFN6",
"SSM6N7002BFE","","N-ch x 2","60","+/-20","0.2","","","","","","","","","3.3","","2.1","6","Y","ES6",
"SSM6N7002BFU","","N-ch x 2","60","+/-20","0.2","","","","","","","","","3.3","","2.1","6","Y","US6",
"SSM6N7002FU","","N-ch x 2","60","+/-20","0.2","","","","","","","","","3.3","","","6","Y","US6",
"SSM6P15FE","","P-ch x 2","-30","+/-20","-0.1","","","","","","","32","","","","","6","Y","ES6",
"SSM6P15FU","","P-ch x 2","-30","+/-20","-0.1","","","","","","","32","","","","","6","Y","US6",
"SSM6P16FE","","P-ch x 2","-20","+/-10","-0.1","","","","","45","","","","","","","6","Y","ES6",
"SSM6P16FU","","P-ch x 2","-20","+/-10","-0.1","","","","","45","","","","","","","6","Y","US6",
"SSM6P25TU","","P-ch x 2","-20","+/-12","-0.5","","","","","","","0.430","0.260","","","","6","Y","UF6",
"SSM6P28TU","","P-ch x 2","-20","+/-8","-0.8","","","","","","0.46","0.306","0.234","","","","6","Y","UF6",
"SSM6P35FE","","P-ch x 2","-20","+/-10","-0.1","","","","","22","","11","8","","","","6","Y","ES6",
"SSM6P35FU","","P-ch x 2","-20","+/-10","-0.1","","","","","22","","11","8","","","","6","Y","US6",
"SSM6P36FE","","P-ch x 2","-20","+/-8","-0.33","","","","","3.48","2.7","","","1.32","","","6","Y","ES6",
"SSM6P36TU","","P-ch x 2","-20","+/-8","-0.33","","","","","3.48","2.7","","","1.32","","","6","Y","UF6",
"SSM6P39TU","","P-ch x 2","-20","+/-8","-1.6","","","","","","0.487","0.289","0.134","","","","6","Y","UF6",
"SSM6P40TU","","P-ch x 2","-30","+/-20","-1.3","","","","","","","","0.518","","","0.259","6","Y","UF6",
"SSM6P41FE","","P-ch x 2","-20","+/-8","-0.72","","","","","1.04","0.67","0.44","","0.30","","","6","Y","ES6",
"SSM6P47NU","","P-ch x 2","-20","+/-8","-4","","","","","0.242","0.170","0.125","","0.095","","","6","Y","UDFN6",
"SSM6P49NU","","P-ch x 2","-20","+/-12","-4","","","","","","0.157","0.076","","0.056","","0.045","6","Y","UDFN6",
"SSM6P54TU","","P-ch x 2","-20","+/-8","-1.2","","","","","0.555","0.350","0.228","","","","","6","Y","UF6",
"TJ100F04M3L","","P-ch","-40","","-100","250","","250","","","","","","","0.0054","0.0036","3","Y","TO-220SM(W)",
"TJ100F06M3L","","P-ch","-60","","-100","250","","250","","","","","","","0.0107","0.0071","3","Y","TO-220SM(W)",
"TJ10S04M3L","","P-ch","-40","","-10","27","930","19","","","","","","","0.062","0.044","3","Y","DPAK+",
"TJ11A10M3","","P-ch","-100","","-11","24","3200","69","","","","","","","","0.13","3","N","TO-220SIS",
"TJ150F04M3L","","P-ch","-40","","-150","300","","390","","","","","","","0.0042","0.0028","3","Y","TO-220SM(W)",
"TJ150F06M3L","","P-ch","-60","","-150","300","12500","420","","","","","","","0.0061","0.0056","3","Y","TO-220SM(W)",
"TJ15P04M3","","P-ch","-40","","-15","29","1100","26","","","","","","0.048","","0.036","3","Y","DPAK",
"TJ15S06M3L","","P-ch","-60","","-15","41","1770","36","","","","","","","0.063","0.05","3","Y","DPAK+",
"TJ20A10M3","","P-ch","-100","","-20","35","5500","120","","","","","","","","0.090","3","N","TO-220SIS",
"TJ20S04M3L","","P-ch","-40","","-20","41","1850","37","","","","","","","0.032","0.0222","3","Y","DPAK+",
"TJ30S06M3L","","P-ch","-60","","-30","68","3950","80","","","","","","","0.028","0.0218","3","Y","DPAK+",
"TJ40S04M3L","","P-ch","-40","","-40","68","4140","83","","","","","","","0.013","0.0091","3","Y","DPAK+",
"TJ50S06M3L","","P-ch","-60","","-50","90","6290","124","","","","","","","0.0174","0.0138","3","Y","DPAK+",
"TJ60S04M3L","","P-ch","-40","","-60","90","6510","125","","","","","","","0.0094","0.0063","3","Y","DPAK+",
"TJ60S06M3L","","P-ch","-60","","-60","100","7760","156","","","","","","","0.0145","0.0112","3","Y","DPAK+",
"TJ70A06J3","","P-ch","-60","","-70","54","","246","","","","","","0.01","","0.008","3","N","TO-220SIS",
"TJ80S04M3L","","P-ch","-40","","-80","100","7770","158","","","","","","","0.0079","0.0052","3","Y","DPAK+",
"TJ8S06M3L","","P-ch","-60","","-8","27","890","19","","","","","","","0.13","0.104","3","Y","DPAK+",
"TJ9A10M3","","P-ch","-100","","-9","19","2900","47","","","","","","","","0.17","3","N","TO-220SIS",
"TK100A06N1","","N-ch","60","","263","45","","140","","","","","","","","0.0027","3","N","TO-220SIS",
"TK100A08N1","","N-ch","80","","214","45","9000","130","","","","","","","","0.0032","3","N","TO-220SIS",
"TK100A10N1","","N-ch","100","","207","45","8800","140","","","","","","","","0.0038","3","N","TO-220SIS",
"TK100E06N1","","N-ch","60","","263","255","","140","","","","","","","","0.0023","3","N","TO-220",
"TK100E08N1","","N-ch","80","","214","255","9000","130","","","","","","","","0.0032","3","N","TO-220",
"TK100E10N1","","N-ch","100","","207","255","8800","140","","","","","","","","0.0034","3","N","TO-220",
"TK100F04K3L","","N-ch","40","","100","180","4980","105","","","","","","","0.0045","0.003","3","Y","TO-220SM(W)",
"TK100F04K3","","N-ch","40","","100","180","4500","102","","","","","","","","0.003","3","Y","TO-220SM(W)",
"TK100F06K3","","N-ch","60","","100","180","4500","98","","","","","","","","0.005","3","Y","TO-220SM(W)",
"TK100L60W","新製品","N-ch","600","","100","800","15000","360","","","","","","","","0.018","3","N","TO-3P(L)",
"TK100S04N1L","","N-ch","40","","100","100","5490","76","","","","","","0.0045","","0.0023","3","Y","DPAK+",
"TK10A50D","","N-ch","500","","10","45","1050","20","","","","","","","","0.72","3","N","TO-220SIS",
"TK10A55D","","N-ch","550","","10","45","1200","24","","","","","","","","0.72","3","N","TO-220SIS",
"TK10A60D","","N-ch","600","","10","45","1350","25","","","","","","","","0.75","3","N","TO-220SIS",
"TK10A60W","新製品","N-ch","600","","9.7","30","700","20","","","","","","","","0.38","3","N","TO-220SIS",
"TK10E60W","新製品","N-ch","600","","9.7","100","700","20","","","","","","","","0.38","3","N","TO-220",
"TK10P60W","新製品","N-ch","600","","9.7","80","700","20","","","","","","","","0.43","3","Y","DPAK",
"TK10Q60W","開発中","N-ch","600","","9.7","80","700","20","","","","","","","","0.43","3","N","IPAK",
"TK10S04K3L","","N-ch","40","","10","25","410","10","","","","","","","0.054","0.028","3","Y","DPAK+",
"TK10X40D","","N-ch","400","","10","125","1050","20","","","","","","","","0.55","4","Y","TFP",
"TK11A45D","","N-ch","450","","11","40","1050","20","","","","","","","","0.62","3","N","TO-220SIS",
"TK11A50D","","N-ch","500","","11","45","1200","38","","","","","","","","0.6","3","N","TO-220SIS",
"TK11A55D","","N-ch","550","","11","45","1350","25","","","","","","","","0.63","3","N","TO-220SIS",
"TK11A60D","","N-ch","600","","11","45","1550","28","","","","","","","","0.65","3","N","TO-220SIS",
"TK11A65D","","N-ch","650","","11","45","1700","30","","","","","","","","0.7","3","N","TO-220SIS",
"TK12A10K3","","N-ch","100","","12","20","780","18","","","","","","","","0.08","3","N","TO-220SIS",
"TK12A45D","","N-ch","450","","12","45","1200","24","","","","","","","","0.52","3","N","TO-220SIS",
"TK12A50D","","N-ch","500","","12","45","1350","25","","","","","","","","0.52","3","N","TO-220SIS",
"TK12A53D","","N-ch","525","","12","45","1350","25","","","","","","","","0.58","3","N","TO-220SIS",
"TK12A55D","","N-ch","550","","12","45","1550","28","","","","","","","","0.57","3","N","TO-220SIS",
"TK12A60D","","N-ch","600","","12","45","1800","38","","","","","","","","0.55","3","N","TO-220SIS",
"TK12A60U","","N-ch","600","","12","35","720","14","","","","","","","","0.4","3","N","TO-220SIS",
"TK12A60W","新製品","N-ch","600","","11.5","35","890","25","","","","","","","","0.3","3","N","TO-220SIS",
"TK12A65D","","N-ch","650","","12","50","2300","40","","","","","","","","0.54","3","N","TO-220SIS",
"TK12E60U","","N-ch","600","","12","144","720","14","","","","","","","","0.4","3","N","TO-220",
"TK12E60W","新製品","N-ch","600","","11.5","110","890","25","","","","","","","","0.3","3","N","TO-220",
"TK12J55D","","N-ch","550","","12","190","1550","28","","","","","","","","0.57","3","N","TO-3P(N)",
"TK12J60U","","N-ch","600","","12","144","720","14","","","","","","","","0.4","3","N","TO-3P(N)",
"TK12J60W","新製品","N-ch","600","","11.5","110","890","25","","","","","","","","0.3","3","N","TO-3P(N)",
"TK12P60W","新製品","N-ch","600","","11.5","100","890","25","","","","","","","","0.34","3","Y","DPAK",
"TK12Q60W","新製品","N-ch","600","","11.5","100","890","25","","","","","","","","0.34","3","N","IPAK",
"TK12X53D","","N-ch","525","","12","150","1350","12","","","","","","","","0.58","4","Y","TFP",
"TK130F06K3","","N-ch","60","","130","300","8400","170","","","","","","","","0.0034","3","Y","TO-220SM(W)",
"TK13A25D","","N-ch","250","","13","35","1100","25","","","","","","","","0.25","3","N","TO-220SIS",
"TK13A45D","","N-ch","450","","13","45","1350","25","","","","","","","","0.46","3","N","TO-220SIS",
"TK13A50DA","","N-ch","500","","12.5","45","1550","28","","","","","","","","0.47","3","N","TO-220SIS",
"TK13A50D","","N-ch","500","","13","45","1800","38","","","","","","","","0.4","3","N","TO-220SIS",
"TK13A55DA","","N-ch","550","","12.5","45","1800","38","","","","","","","","0.48","3","N","TO-220SIS",
"TK13A60D","","N-ch","600","","13","50","2300","40","","","","","","","","0.43","3","N","TO-220SIS",
"TK13A65D","","N-ch","650","","13","50","2600","45","","","","","","","","0.47","3","N","TO-220SIS",
"TK13A65U","","N-ch","650","","13","40","950","17","","","","","","","","0.38","3","N","TO-220SIS",
"TK13E25D","","N-ch","250","","13","102","1100","25","","","","","","","","0.25","3","N","TO-220AB",
"TK13J65U","","N-ch","650","","13","170","950","17","","","","","","","","0.38","3","","TO-3P(N)",
"TK13P25D","","N-ch","250","","13","96","1100","25","","","","","","","","0.25","3","Y","DPAK",
"TK14A45DA","","N-ch","450","","13.5","45","1550","28","","","","","","","","0.41","3","","TO-220SIS",
"TK14A45D","","N-ch","450","","14","45","1800","38","","","","","","","","0.34","3","","TO-220SIS",
"TK14A55D","","N-ch","550","","14","50","2300","40","","","","","","","","0.37","3","N","TO-220SIS",
"TK150F04K3L","","N-ch","40","","150","300","9400","190","","","","","","","0.0031","0.0021","3","Y","TO-220SM(W)",
"TK150F04K3","","N-ch","40","","150","300","7500","166","","","","","","","","0.0021","3","Y","TO-220SM(W)",
"TK15A20D","","N-ch","200","","15","35","1050","26","","","","","","","","0.18","3","N","TO-220SIS",
"TK15A50D","","N-ch","500","","15","50","2300","40","","","","","","","","0.3","3","N","TO-220SIS",
"TK15A60D","","N-ch","600","","15","50","2600","45","","","","","","","","0.37","3","N","TO-220SIS",
"TK15A60U","","N-ch","600","","15","40","950","17","","","","","","","","0.3","3","N","TO-220SIS",
"TK15E60U","","N-ch","600","","15","170","950","17","","","","","","","","0.3","3","N","TO-220",
"TK15J50D","","N-ch","500","","15","210","1800","38","","","","","","","","0.4","3","N","TO-3P(N)",
"TK15J60U","","N-ch","600","","15","170","950","17","","","","","","","","0.3","3","N","TO-3P(N)",
"TK16A45D","","N-ch","450","","16","50","2300","40","","","","","","","","0.27","3","","TO-220SIS",
"TK16A55D","","N-ch","550","","16","50","2600","45","","","","","","","","0.33","3","N","TO-220SIS",
"TK16A60W5","新製品","N-ch","600","","15.8","40","1350","43","","","","","","","","0.23","3","N","TO-220SIS",
"TK16A60W","新製品","N-ch","600","","15.8","40","1350","38","","","","","","","","0.19","3","N","TO-220SIS",
"TK16C60W","開発中","N-ch","600","","15.8","130","1350","38","","","","","","","","0.19","3","N","I2PAK",
"TK16E60W","新製品","N-ch","600","","15.8","130","1350","38","","","","","","","","0.19","3","N","TO-220",
"TK16G60W","新製品","N-ch","600","","15.8","130","1350","38","","","","","","","","0.19","3","Y","D2PAK",
"TK16J55D","","N-ch","550","","16","250","2300","40","","","","","","","","0.37","3","N","TO-3P(N)",
