品番,ライフサイクル,極性,V<sub>DSS</sub>(V),V<sub>GSS</sub>(V),I<sub>D</sub>(A),P<sub>D</sub>(W),Ciss(pF),Qg(nC),R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=1.2V,R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=1.5V,R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=1.8V,R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=2.5V,R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=4V,R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=4.5V,R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=6V,R<sub>DS(ON)</sub>Max(Ω)&#124;V<sub>GS</sub>&#124;=10V,ピン数,面実装区分,パッケージ名(Toshiba),
"TK16J60W","新製品","N-ch","600","","15.8","130","1350","38","","","","","","","","0.19","3","N","TO-3P(N)",
"TK16N60W","新製品","N-ch","600","","15.8","130","1350","38","","","","","","","","0.19","3","N","TO-247",
"TK17A25D","","N-ch","250","","17","45","1650","43","","","","","","","","0.15","3","N","TO-220SIS",
"TK17A65U","","N-ch","650","","17","45","1450","27","","","","","","","","0.26","3","N","TO-220SIS",
"TK17J65U","","N-ch","650","","17","190","1450","27","","","","","","","","0.26","3","N","TO-3P(N)",
"TK18A30D","","N-ch","300","","18","45","2600","60","","","","","","","","0.139","3","N","TO-220SIS",
"TK18A50D","","N-ch","500","","18","50","2600","45","","","","","","","","0.27","3","N","TO-220SIS",
"TK18E10K3","","N-ch","100","","18","71","","33","","","","","","","","0.042","3","N","TO-220",
"TK19A45D","","N-ch","450","","19","50","2600","50","","","","","","","","0.25","3","N","TO-220SIS",
"TK19J55D","","N-ch","550","","19","280","2600","45","","","","","","","","0.33","3","N","TO-3P(N)",
"TK1P90A","","N-ch","900","","1","20","320","13","","","","","","","","9","3","Y","New PW-Mold",
"TK1Q90A","","N-ch","900","","1","20","320","13","","","","","","","","9","3","N","New PW-Mold2",
"TK20A20D","","N-ch","200","","20","45","1650","43","","","","","","","","0.109","3","N","TO-220SIS",
"TK20A25D","","N-ch","250","","20","45","2550","55","","","","","","","","0.1","3","N","TO-220SIS",
"TK20A60U","","N-ch","600","","20","45","1470","27","","","","","","","","0.19","3","N","TO-220SIS",
"TK20A60W","新製品","N-ch","600","","20","40","1680","48","","","","","","","","0.155","3","N","TO-220SIS",
"TK20C60W","新製品","N-ch","600","","20","165","1680","48","","","","","","","","0.155","3","N","I2PAK",
"TK20E60W","","N-ch","600","","20","165","1680","48","","","","","","","","0.155","3","N","TO-220",
"TK20G60W","新製品","N-ch","600","","20","165","1680","48","","","","","","","","0.155","3","Y","D2PAK",
"TK20J50D","","N-ch","500","","20","280","2600","45","","","","","","","","0.27","3","N","TO-3P(N)",
"TK20J60W","新製品","N-ch","600","","20","165","1680","48","","","","","","","","0.155","3","N","TO-3P(N)",
"TK20N60W","新製品","N-ch","600","","20","165","1680","48","","","","","","","","0.155","3","N","TO-247",
"TK20P04M1","","N-ch","40","","20","27","985","15","","","","","","0.034","","0.029","3","Y","DPAK",
"TK20S04K3L","","N-ch","40","","20","38","820","18","","","","","","","0.026","0.014","3","Y","DPAK+",
"TK20S06K3L","","N-ch","60","","20","38","780","18","","","","","","","0.04","0.029","3","Y","DPAK+",
"TK22A10N1","","N-ch","100","","52","30","1800","28","","","","","","","","0.0138","3","N","TO-220SIS",
"TK22E10N1","","N-ch","100","","52","72","1800","28","","","","","","","","0.0138","3","N","TO-220",
"TK25A10K3","","N-ch","100","","25","25","1580","34","","","","","","","","0.040","3","N","TO-220SIS",
"TK25A20D","","N-ch","200","","25","45","2550","60","","","","","","","","0.07","3","N","TO-220SIS",
"TK25E06K3","","N-ch","60","","25","60","1255","29","","","","","","","","0.018","3","N","TO-220",
"TK2A65D","","N-ch","650","","2","30","380","9","","","","","","","","3.26","3","N","TO-220SIS",
"TK2P60D","","N-ch","600","","2","60","280","7","","","","","","","","4.3","3","Y","New PW-Mold",
"TK2Q60D","","N-ch","600","","2","60","280","7","","","","","","","","4.3","3","N","New PW-Mold2",
"TK30A06N1","","N-ch","60","","43","25","","16","","","","","","","","0.015","3","N","TO-220SIS",
"TK30E06N1","","N-ch","60","","43","53","","16","","","","","","","","0.015","3","N","TO-220",
"TK30S06K3L","","N-ch","60","","30","58","1350","28","","","","","","","0.03","0.018","3","Y","DPAK+",
"TK31A60W","新製品","N-ch","600","","30.8","45","3000","86","","","","","","","","0.088","3","N","TO-220SIS",
"TK31E60W","新製品","N-ch","600","","30.8","230","3000","86","","","","","","","","0.088","3","N","TO-220",
"TK31J60W5","新製品","N-ch","600","","30.8","230","3000","105","","","","","","","","0.099","3","N","TO-3P(N)",
"TK31J60W","新製品","N-ch","600","","30.8","230","3000","86","","","","","","","","0.088","3","N","TO-3P(N)",
"TK31N60W","新製品","N-ch","600","","30.8","230","3000","86","","","","","","","","0.088","3","N","TO-247",
"TK32A12N1","","N-ch","120","","60","30","2000","34","","","","","","","","0.0138","3","N","TO-220SIS",
"TK32E12N1","","N-ch","120","","60","98","2000","34","","","","","","","","0.0138","3","N","TO-220",
"TK34A10N1","","N-ch","100","","75","35","2600","38","","","","","","","","0.0095","3","N","TO-220SIS",
"TK34E10N1","","N-ch","100","","75","103","2600","38","","","","","","","","0.0095","3","N","TO-220",
"TK35A08N1","","N-ch","80","","55","30","","25","","","","","","","","0.0122","3","N","TO-220SIS",
"TK35E08N1","","N-ch","80","","55","72","","25","","","","","","","","0.0122","3","N","TO-220",
"TK35S04K3L","","N-ch","40","","35","58","1370","28","","","","","","","0.015","0.0103","3","Y","DPAK+",
"TK39A60W","新製品","N-ch","600","","38.8","50","4100","110","","","","","","","","0.065","3","N","TO-220SIS",
"TK39J60W5","新製品","N-ch","600","","38.8","270","4100","135","","","","","","","","0.074","3","N","TO-3P(N)",
"TK39J60W","新製品","N-ch","600","","38.8","270","4100","110","","","","","","","","0.065","3","N","TO-3P(N)",
"TK39N60W","新製品","N-ch","600","","38.8","270","4100","110","","","","","","","","0.065","3","N","TO-247",
"TK3A60DA","","N-ch","600","","2.5","30","380","9","","","","","","","","2.8","3","N","TO-220SIS",
"TK3A65DA","","N-ch","650","","2.5","35","490","11","","","","","","","","2.51","3","N","TO-220SIS",
"TK3A65D","","N-ch","650","","3","35","540","11","","","","","","","","2.25","3","N","TO-220SIS",
"TK3P50D","","N-ch","500","","3","60","280","7","","","","","","","","3","3","Y","DPAK",
"TK40A06N1","","N-ch","60","","60","30","","23","","","","","","","","0.0104","3","N","TO-220SIS",
"TK40A08K3","","N-ch","75","","40","42","3600","80","","","","","","","","0.009","3","N","TO-220SIS",
"TK40A10K3","","N-ch","100","","40","40","4000","85","","","","","","","","0.015","3","N","TO-220SIS",
"TK40A10N1","","N-ch","100","","90","35","3000","49","","","","","","","","0.0082","3","N","TO-220SIS",
"TK40E06N1","","N-ch","60","","60","67","","23","","","","","","","","0.0104","3","N","TO-220",
"TK40E10K3","","N-ch","100","","40","147","4000","84","","","","","","","","0.015","3","N","TO-220",
"TK40E10N1","","N-ch","100","","90","126","3000","49","","","","","","","","0.0082","3","N","TO-220",
"TK40M60U","","N-ch","600","","40","90","3400","55","","","","","","","","0.08","3","N","TO-3P(N)IS",
"TK40P03M1","","N-ch","30","","40","40","1150","17.5","","","","","","0.0144","","0.0108","3","Y","DPAK",
"TK40P04M1","","N-ch","40","","40","47","1920","29","","","","","","0.0134","","0.011","3","Y","DPAK",
"TK40S10K3Z","","N-ch","100","","40","93","3110","61","","","","","","","","","3","","DPAK+",
"TK40X10J1","","N-ch","100","","40","125","3300","59","","","","","","","","0.02","4","Y","TFP",
"TK42A12N1","","N-ch","120","","88","35","3100","52","","","","","","","","0.0094","3","N","TO-220SIS",
"TK42E12N1","","N-ch","120","","88","140","3100","52","","","","","","","","0.0094","3","N","TO-220",
"TK45P03M1","","N-ch","30","","45","39","1500","25","","","","","","0.012","","0.0097","3","Y","DPAK",
"TK46A08N1","","N-ch","80","","80","35","","37","","","","","","","","0.0084","3","N","TO-220SIS",
"TK46E08N1","","N-ch","80","","80","103","","37","","","","","","","","0.0084","3","N","TO-220",
"TK4A50D","","N-ch","500","","4","30","380","9","","","","","","","","2.0","3","N","TO-220SIS",
"TK4A53D","","N-ch","525","","4","35","490","11","","","","","","","","1.7","3","N","TO-220SIS",
"TK4A55DA","","N-ch","550","","3.5","30","380","9","","","","","","","","2.45","3","N","TO-220SIS",
"TK4A55D","","N-ch","550","","4","35","490","11","","","","","","","","1.88","3","N","TO-220SIS",
"TK4A60DA","","N-ch","600","","3.5","35","490","11","","","","","","","","2.2","3","N","TO-220SIS",
"TK4A60DB","","N-ch","600","","3.7","35","540","11","","","","","","","","2.2","3","N","TO-220SIS",
"TK4A60D","","N-ch","600","","4","35","600","12","","","","","","","","1.7","3","N","TO-220SIS",
"TK4A65DA","","N-ch","650","","3.5","35","600","12","","","","","","","","1.9","3","N","TO-220SIS",
"TK4P50D","","N-ch","500","","4","80","380","9","","","","","","","","2","3","Y","DPAK",
"TK4P55DA","","N-ch","550","","3.5","80","380","9","","","","","","","","2.45","3","Y","DPAK",
"TK4P55D","","N-ch","550","","4","80","490","11","","","","","","","","1.88","3","Y","DPAK",
"TK4P60DA","","N-ch","600","","3.5","80","490","11","","","","","","","","2.2","3","Y","DPAK",
"TK4P60DB","","N-ch","600","","3.7","80","540","11","","","","","","","","2","3","Y","DPAK",
"TK4P60D","","N-ch","600","","4","100","600","12","","","","","","","","1.7","3","Y","DPAK",
"TK4Q60DA","","N-ch","600","","3.5","80","490","11","","","","","","","","2.2","3","N","New PW-Mold2",
"TK50A04K3","","N-ch","40","","50","42","4500","102","","","","","","","","0.0035","3","N","TO-220SIS",
"TK50E06K3A","","N-ch","60","","50","104","2670","54","","","","","","","","0.0085","3","N","TO-220",
"TK50F15J1","","N-ch","150","","50","300","4300","75","","","","","","","","","3","","TO-220SM(W)",
"TK50P03M1","","N-ch","30","","50","47","1700","25.3","","","","","","0.0098","","0.0075","3","Y","DPAK",
"TK50P04M1","","N-ch","40","","50","60","2600","38","","","","","","0.0102","","0.0087","3","Y","DPAK",
"TK50S04K3L","","N-ch","40","","50","68","2010","42","","","","","","","0.01","0.0054","3","Y","DPAK+",
"TK50X15J1","","N-ch","150","","50","125","4300","75","","","","","","","","0.03","4","Y","TFP",
"TK55S10N1","","N-ch","100","","55","100","3280","49","","","","","","","","0.0065","3","Y","DPAK+",
"TK56A12N1","","N-ch","120","","112","45","4200","69","","","","","","","","0.0075","3","N","TO-220SIS",
"TK56E12N1","","N-ch","120","","112","168","4200","69","","","","","","","","0.007","3","N","TO-220",
"TK58A06N1","","N-ch","60","","105","35","","46","","","","","","","","0.0054","3","N","TO-220SIS",
"TK58E06N1","","N-ch","60","","105","110","","46","","","","","","","","0.0054","3","N","TO-220",
"TK5A45DA","","N-ch","450","","4.5","30","380","9","","","","","","","","1.75","3","N","TO-220SIS",
"TK5A50D","","N-ch","500","","5","35","490","11","","","","","","","","1.5","3","N","TO-220SIS",
"TK5A53D","","N-ch","525","","5","35","540","11","","","","","","","","1.5","3","N","TO-220SIS",
"TK5A55D","","N-ch","550","","5","35","540","11","","","","","","","","1.7","3","N","TO-220SIS",
"TK5A60D","","N-ch","600","","5","35","700","16","","","","","","","","1.43","3","N","TO-220SIS",
"TK5A60W","新製品","N-ch","600","","5.4","30","380","10.5","","","","","","","","0.9","3","N","TO-220SIS",
"TK5A65DA","","N-ch","650","","4.5","35","700","16","","","","","","","","1.67","3","N","TO-220SIS",
"TK5A65D","","N-ch","650","","5","40","800","16","","","","","","","","1.5","3","N","TO-220SIS",
"TK5P50D","","N-ch","500","","5","80","490","11","","","","","","","","1.5","3","Y","DPAK",
"TK5P53D","","N-ch","525","","5","80","540","11","","","","","","","","1.5","3","Y","DPAK",
"TK5P60W","新製品","N-ch","600","","5.4","60","380","10.5","","","","","","","","0.9","3","Y","DPAK",
"TK5Q60W","新製品","N-ch","600","","5.4","60","380","10.5","","","","","","","","0.9","3","N","IPAK",
"TK60P03M1","","N-ch","30","","60","63","2700","40","","","","","","0.0078","","0.0064","3","Y","DPAK",
"TK60S06K3L","","N-ch","60","","60","88","2900","60","","","","","","","0.012","0.008","3","Y","DPAK+",
"TK62J60W","新製品","N-ch","600","","61.8","400","6500","180","","","","","","","","0.04","3","N","TO-3P(N)",
"TK62N60W","新製品","N-ch","600","","61.8","400","6500","180","","","","","","","","0.04","3","N","TO-247",
"TK65A10N1","","N-ch","100","","148","45","5400","81","","","","","","","","0.0048","3","N","TO-220SIS",
"TK65E10N1","","N-ch","100","","148","192","5400","81","","","","","","","","0.0048","3","N","TO-220",
"TK65S04K3L","","N-ch","40","","65","88","2800","63","","","","","","","0.0079","0.0045","3","Y","DPAK+",
"TK6A45DA","","N-ch","450","","5.5","35","490","11","","","","","","","","1.35","3","N","TO-220SIS",
"TK6A50D","","N-ch","500","","6","35","540","11","","","","","","","","1.4","3","N","TO-220SIS",
"TK6A53D","","N-ch","525","","6","35","600","12","","","","","","","","1.3","3","N","TO-220SIS",
"TK6A55DA","","N-ch","550","","5.5","35","600","12","","","","","","","","1.48","3","N","TO-220SIS",
"TK6A60D","","N-ch","600","","6","40","800","16","","","","","","","","1.25","3","N","TO-220SIS",
"TK6A60W","新製品","N-ch","600","","6.2","30","390","12","","","","","","","","0.75","3","N","TO-220SIS",
"TK6A65D","","N-ch","650","","6","45","1050","20","","","","","","","","1.11","3","N","TO-220SIS",
"TK6P53D","","N-ch","525","","6","100","600","6","","","","","","","","1.3","3","N","DPAK",
"TK6P60W","新製品","N-ch","600","","6.2","60","390","12","","","","","","","","0.82","3","Y","DPAK",
"TK6Q60W","新製品","N-ch","600","","6.2","60","390","12","","","","","","","","0.82","3","N","IPAK",
"TK70J04J3","","N-ch","40","","70","150","12400","210","","","","","","0.0083","","0.0038","3","N","TO-3P(N)",
"TK70J20D","","N-ch","200","","70","410","6950","160","","","","","","","","0.027","3","N","TO-3P(N)",
"TK70X04K3Z","","N-ch","40","","70","80","","62","","","","","","","","0.0056","4","Y","TFP",
"TK70X04K3","","N-ch","40","","70","80","","62","","","","","","","","0.0056","4","Y","TFP",
"TK70X06K3","","N-ch","60","","70","80","2650","62","","","","","","","","0.008","4","Y","TFP",
"TK72A08N1","","N-ch","80","","157","45","","81","","","","","","","","0.0045","3","N","TO-220SIS",
"TK72A12N1","","N-ch","120","","179","45","8100","130","","","","","","","","0.0045","3","N","TO-220SIS",
"TK72E08N1","","N-ch","80","","157","192","","81","","","","","","","","0.0043","3","N","TO-220",
"TK72E12N1","","N-ch","120","","179","255","","130","","","","","","","","0.0044","3","N","TO-220",
"TK75A06K3","","N-ch","60","","75","35","4500","85","","","","","","","","0.0055","3","N","TO-220SIS",
"TK7A45DA","","N-ch","450","","6.5","35","540","11","","","","","","","","1.2","3","N","TO-220SIS",
"TK7A50D","","N-ch","500","","7","35","600","12","","","","","","","","1.22","3","N","TO-220SIS",
"TK7A55D","","N-ch","550","","7","35","700","16","","","","","","","","1.25","3","N","TO-220SIS",
"TK7A60W","新製品","N-ch","600","","7","30","490","15","","","","","","","","0.6","3","N","TO-220SIS",
"TK7A65D","","N-ch","650","","7","45","1200","24","","","","","","","","0.98","3","N","TO-220SIS",
"TK7P50D","","N-ch","500","","7","100","600","12","","","","","","","","1.22","3","Y","DPAK",
"TK7P60W","新製品","N-ch","600","","7","60","490","15","","","","","","","","0.6","3","Y","DPAK",
"TK7Q60W","新製品","N-ch","600","","7","60","490","15","","","","","","","","0.6","3","N","IPAK",
"TK80A04K3L","","N-ch","40","","80","48","9400","190","","","","","","","0.0035","0.0024","3","N","TO-220SIS",
"TK80A08K3","","N-ch","75","","80","40","8200","175","","","","","","","","0.0045","3","N","TO-220SIS",
"TK80E06K3A","","N-ch","60","","80","125","4500","90","","","","","","","","0.0058","3","N","TO-220",
"TK80F08K3","","N-ch","75","","80","300","8200","175","","","","","","","","0.0043","3","Y","TO-220SM(W)",
"TK80S04K3L","","N-ch","40","","80","100","4340","87","","","","","","","0.0048","0.0031","3","Y","DPAK+",
"TK80S06K3L","","N-ch","60","","80","100","4200","85","","","","","","","0.0078","0.0055","3","Y","DPAK+",
"TK80X04K3L","","N-ch","40","","80","125","","105","","","","","","","0.0042","0.0035","4","Y","TFP",
"TK80X04K3","","N-ch","40","","80","125","4600","100","","","","","","","","0.0035","4","Y","TFP",
"TK8A10K3","","N-ch","100","","8","18","530","12.9","","","","","","","","0.12","3","N","TO-220SIS",
"TK8A25DA","","N-ch","250","","7.5","30","550","16","","","","","","","","0.5","3","N","TO-220SIS",
"TK8A45DA","","N-ch","450","","7.5","35","600","12","","","","","","","","1.1","3","N","TO-220SIS",
"TK8A45D","","N-ch","450","","8","35","700","14","","","","","","","","0.9","3","N","TO-220SIS",
"TK8A50DA","","N-ch","500","","7.5","35","700","16","","","","","","","","1.04","3","N","TO-220SIS",
"TK8A50D","","N-ch","500","","8","40","800","16","","","","","","","","0.85","3","N","TO-220SIS",
"TK8A55DA","","N-ch","550","","7.5","40","800","16","","","","","","","","1.07","3","N","TO-220SIS",
"TK8A60DA","","N-ch","600","","7.5","45","1050","20","","","","","","","","1.0","3","N","TO-220SIS",
"TK8A60W","新製品","N-ch","600","","8","30","570","18.5","","","","","","","","0.5","3","N","TO-220SIS",
"TK8A65D","","N-ch","650","","8","45","1350","25","","","","","","","","0.84","3","N","TO-220SIS",
"TK8P25DA","","N-ch","250","","7.5","55","550","16","","","","","","","","0.5","3","Y","DPAK",
"TK8P60W","新製品","N-ch","600","","8","80","570","18.5","","","","","","","","0.5","3","Y","DPAK",
"TK8Q60W","新製品","N-ch","600","","8","80","570","18.5","","","","","","","","0.5","3","N","IPAK",
"TK8S06K3L","","N-ch","60","","8","25","400","10","","","","","","","0.08","0.054","3","Y","DPAK+",
"TK9A20DA","","N-ch","200","","8.5","30","550","14","","","","","","","","0.4","3","N","TO-220SIS",
"TK9A45D","","N-ch","450","","9","40","800","16","","","","","","","","0.77","3","N","TO-220SIS",
"TK9A55DA","","N-ch","550","","8.5","40","1050","20","","","","","","","","0.86","3","N","TO-220SIS",
"TK9A60D","","N-ch","600","","9","45","1200","24","","","","","","","","0.83","3","N","TO-220SIS",
"TPC6008-H","","N-ch","30","","5.9","2.2","232","4.8","","","","","","0.074","","0.060","6","Y","VS-6",
"TPC6009-H","","N-ch","40","","5.3","2.2","225","4.7","","","","","","0.098","","0.081","6","Y","VS-6",
"TPC6010-H","","N-ch","60","","6.1","2.2","640","12","","","","","","0.063","","0.059","6","Y","VS-6",
"TPC6011","","N-ch","30","","6","2.2","640","14","","","","","","0.032","","0.020","6","Y","VS-6",
"TPC6012","","N-ch","20","","6","2.2","630","9","","","","0.038","","0.020","","","6","Y","VS-6",
"TPC6067","","N-ch","30","","6","2.2","","8","","","","","","0.029","","0.023","6","Y","VS-6",
"TPC6109-H","","P-ch","-30","","-5","2.2","","12.3","","","","","","0.083","","0.059","6","Y","VS-6",
"TPC6110","","P-ch","-30","","-4.5","2.2","510","14","","","","","","0.077","","0.056","6","Y","VS-6",
"TPC6111","","P-ch","-20","","-5.5","2.2","700","10","","0.150","0.080","0.057","","0.040","","","6","Y","VS-6",
"TPC6113","","P-ch","-20","","-5","2.2","690","10","","","","0.085","","0.055","","","6","Y","VS-6",
"TPC6130","","P-ch","-20","","-2.8","2.2","360","5.1","","","","0.164","","0.106","","","6","Y","VS-6",
"TPC8045-H","","N-ch","40","","18","1.9","5800","90","","","","","","0.0044","","0.0039","8","Y","SOP-8",
"TPC8046-H","","N-ch","40","","18","1.9","3545","57","","","","","","0.0066","","0.0057","8","Y","SOP-8",
"TPC8047-H","","N-ch","40","","16","1.9","2590","43","","","","","","0.0088","","0.0076","8","Y","SOP-8",
"TPC8048-H","","N-ch","60","","16","1.9","5800","87","","","","","","0.0074","","0.0069","8","Y","SOP-8",
"TPC8049-H","","N-ch","60","","13","1.9","3545","56","","","","","","0.0115","","0.0107","8","Y","SOP-8",
"TPC8050-H","","N-ch","60","","11","1.9","2590","41","","","","","","0.0156","","0.0145","8","Y","SOP-8",
"TPC8051-H","","N-ch","80","","13","1.9","5800","85","","","","","","0.0101","","0.0097","8","Y","SOP-8",
"TPC8052-H","","N-ch","40","","12","1.9","1620","25","","","","","","0.0133","","0.0115","8","Y","SOP-8",
"TPC8053-H","","N-ch","60","","9","1.9","1620","25","","","","","","0.0242","","0.0225","8","Y","SOP-8",
"TPC8055-H","","N-ch","30","","18","1.9","6400","91","","","","","","0.0025","","0.0021","8","Y","SOP-8",
"TPC8056-H","","N-ch","30","","18","1.9","5200","74","","","","","","0.0029","","0.0024","8","Y","SOP-8",
"TPC8057-H","","N-ch","30","","18","1.9","4300","61","","","","","","0.0034","","0.0028","8","Y","SOP-8",
"TPC8058-H","","N-ch","30","","18","1.9","3600","51","","","","","","0.004","","0.0032","8","Y","SOP-8",
